name,at,user_class,subcription_during_event,custom_answer_was,custom_question_marked_as
Expanded Answer Choice Rationale,2023-10-23T11:26:40,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:26:37,fnp_testprep,Mo (1225),incorrect,
Selected Category Tag Filter,2023-10-23T11:26:17,fnp_testprep,Mo (1225),,
Selected Category Tag Filter,2023-10-23T11:26:11,fnp_testprep,Mo (1225),,
Tapped On Home Cell,2023-10-23T11:26:09,fnp_testprep,Mo (1225),,
Viewed Category From Carousel,2023-10-23T11:26:09,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:26:02,fnp_testprep,Mo (1225),correct,
Tapped On Home Cell,2023-10-23T11:25:47,fnp_testprep,Mo (1225),,
Performed Background Fetch,2023-10-22T14:01:07,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-22T12:37:06,fnp_testprep,Mo (1225),incorrect,
Expanded Answer Choice Rationale,2023-10-22T12:36:49,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:36:38,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:36:31,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:36:28,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:36:24,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:36:23,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T12:36:20,fnp_testprep,Mo (1225),incorrect,
Tagged Practice Question,2023-10-22T12:35:23,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-22T12:34:13,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T12:34:10,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-22T12:33:55,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-22T12:33:44,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:33:37,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:33:32,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T12:33:30,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-22T12:33:02,fnp_testprep,Mo (1225),incorrect,
Expanded Answer Choice Rationale,2023-10-22T12:32:57,fnp_testprep,Mo (1225),,
Tapped Show Question,2023-10-22T12:32:26,fnp_testprep,Mo (1225),,
Expanded Explanation,2023-10-22T12:32:11,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:32:03,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T12:32:00,fnp_testprep,Mo (1225),incorrect,
Selected Category Tag Filter,2023-10-22T12:31:13,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-22T12:31:08,fnp_testprep,Mo (1225),incorrect,
Expanded Explanation,2023-10-22T12:30:49,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:30:35,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:30:31,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T12:30:28,fnp_testprep,Mo (1225),incorrect,
Tagged Practice Question,2023-10-22T12:30:06,fnp_testprep,Mo (1225),incorrect,
Expanded Answer Choice Rationale,2023-10-22T12:26:28,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:26:06,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:25:53,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T12:22:33,fnp_testprep,Mo (1225),,
Tapped Show Question,2023-10-22T12:22:00,fnp_testprep,Mo (1225),,
Performed Background Fetch,2023-10-22T09:28:53,fnp_testprep,Mo (1225),,
Expanded Explanation,2023-10-22T05:05:29,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T05:05:20,fnp_testprep,Mo (1225),incorrect,
Tagged Practice Question,2023-10-22T05:05:14,fnp_testprep,Mo (1225),correct,
Expanded Answer Choice Rationale,2023-10-22T05:03:46,fnp_testprep,Mo (1225),,
Expanded Explanation,2023-10-22T05:03:40,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T05:03:37,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-22T05:03:22,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-22T05:02:58,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T05:02:49,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T05:02:48,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-22T05:02:28,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-22T05:02:27,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T05:02:25,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T05:02:24,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-22T05:02:04,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-22T05:02:01,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T05:01:54,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-22T05:01:52,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-22T05:01:28,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-22T05:01:24,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-22T05:00:54,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-22T05:00:51,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-22T05:00:48,fnp_testprep,Mo (1225),,
Tagged Practice Question,2022-12-12T23:32:17,fnp_testprep,,incorrect,
Answered Practice Question,2022-12-12T23:30:44,fnp_testprep,,incorrect,
Used Content Credit,2022-12-12T23:30:44,fnp_testprep,,,
Tagged Practice Question,2022-12-12T23:30:11,fnp_testprep,,incorrect,
Used Content Credit,2022-12-12T23:29:44,fnp_testprep,,,
Answered Practice Question,2022-12-12T23:29:44,fnp_testprep,,incorrect,
